"taxon_id"	"taxon_rank"	"scientific_name"	"assembly_id"	"contig_count"	"scaffold_count"	"chromosome_count"	"gc_percent"	"gene_count"	"assembly_level"	"assembly_span"	"contig_n50"	"scaffold_n50"	"busco_completeness"
"10116"	"species"	"Rattus norvegicus"	"GCA_015227675.2"	756	175	22	41.980000000000004		"Chromosome"	2647899415	29198295	135012528	96
"10116"	"species"	"Rattus norvegicus"	"GCA_015244455.1"	3162	3156		41		"Scaffold"	286931382	100340	100349	
"223781"	"subspecies"	"Aquila chrysaetos chrysaetos"	"GCA_900496995.4"	372	144	28	42.17		"Chromosome"	1233704830	21924221	46934974	97.4
"8032"	"species"	"Salmo trutta"	"GCA_901001165.2"	5377	1440	40	42.04		"Chromosome"	2371863509	1703178	52209666	97.5
"177155"	"species"	"Streptopelia turtur"	"GCA_901699155.2"	1246	311	33	41.71		"Chromosome"	1178816852	3790373	81365208	95.7
"177155"	"species"	"Streptopelia turtur"	"GCA_901699165.2"	3334	3334		41.5		"Contig"	1035330184	776317	776317	
"161584"	"species"	"Syngnathus acus"	"GCA_901709675.2"	130	87	22	43.46		"Chromosome"	324331233	11959915	14974571	94.80000000000001
"161584"	"species"	"Syngnathus acus"	"GCA_901709685.1"	1850	1848		43.29		"Scaffold"	234858432	169498	170058	74.5
"223781"	"subspecies"	"Aquila chrysaetos chrysaetos"	"GCA_902153765.2"	3857	3855		42.5		"Scaffold"	792810001	630655	630655	
"7604"	"species"	"Asterias rubens"	"GCA_902459445.1"	3970	3969		39		"Scaffold"	390768305	161267	161267	
"7604"	"species"	"Asterias rubens"	"GCA_902459465.3"	621	150	22	38.77		"Chromosome"	417601740	1383654	20558067	97.5
"6579"	"species"	"Pecten maximus"	"GCA_902652895.1"	4	4		37		"Contig"	456686	108847	108847	
"6579"	"species"	"Pecten maximus"	"GCA_902652985.1"	5809	3983	19	36.660000000000004		"Chromosome"	918306378	1258799	44824366	95.80000000000001
"9657"	"species"	"Lutra lutra"	"GCA_902653095.1"	8506	8506		42		"Contig"	1081484062	174900	174900	
"9657"	"species"	"Lutra lutra"	"GCA_902655055.2"	228	43	20	41.59		"Chromosome"	2438442342	30403456	149004807	94.9
"30640"	"species"	"Sciurus carolinensis"	"GCA_902685475.1"	9510	9508		40		"Scaffold"	2057949030	492513	492513	
"55149"	"species"	"Sciurus vulgaris"	"GCA_902685485.1"	10657	10655		40		"Scaffold"	1366022868	192948	193053	
"30640"	"species"	"Sciurus carolinensis"	"GCA_902686445.2"	2576	752	21	40.06		"Chromosome"	2815397268	13975867	148229995	95.7
"55149"	"species"	"Sciurus vulgaris"	"GCA_902686455.2"	1807	638	21	40		"Chromosome"	2878591032	16333633	153872958	
"7830"	"species"	"Scyliorhinus canicula"	"GCA_902713615.1"	7773	645	31	47.5		"Chromosome"	4220389930	1862211	198790641	
"7830"	"species"	"Scyliorhinus canicula"	"GCA_902713615.2"	7773	645	31	46.95		"Chromosome"	4220389930	1862211	198790641	91.60000000000001
"7830"	"species"	"Scyliorhinus canicula"	"GCA_902713625.2"	26655	26649		47.5		"Scaffold"	3867000599	230697	230697	
"2795564"	"species"	"Maniola hyperantus"	"GCA_902806615.1"	3155	3149		38		"Scaffold"	362692543	178320	178320	
"2795564"	"species"	"Maniola hyperantus"	"GCA_902806685.2"	471	87	29	37.88		"Chromosome"	408137179	2012761	15230192	98
"37610"	"species"	"Erithacus rubecula"	"GCA_903797565.2"	3686	3668		41.5		"Scaffold"	912720829	602370	603216	
"37610"	"species"	"Erithacus rubecula"	"GCA_903797595.2"	2109	1119	33	42.11		"Chromosome"	1086738418	5585877	60684490	95.5
"59474"	"species"	"Pipistrellus pipistrellus"	"GCA_903992515.1"	10459	10447		42.42		"Scaffold"	1579816813	229984	230226	69.10000000000001
"1047088"	"species"	"Arvicola amphibius"	"GCA_903992525.1"	16473	16368		42		"Scaffold"	1764008884	147871	147918	
"1047088"	"species"	"Arvicola amphibius"	"GCA_903992535.2"	1085	215	18	42.15		"Chromosome"	2297766297	5392280	158924400	95.10000000000001
"59474"	"species"	"Pipistrellus pipistrellus"	"GCA_903992545.1"	1867	322	22	42.56		"Chromosome"	1763422308	4446752	94929986	88.9
"254363"	"species"	"Autographa gamma"	"GCA_905146835.1"	183	183		35.5		"Contig"	337172335	9142168	9142168	
"254363"	"species"	"Autographa gamma"	"GCA_905146925.1"	129	102	32	35.65		"Chromosome"	373051863	11185469	12167202	98.80000000000001
"219539"	"species"	"Scaeva pyrastri"	"GCA_905146935.1"	183	4	4	32.61		"Chromosome"	320029822	8651641	86161057	96.7
"938238"	"species"	"Laspeyria flexula"	"GCA_905147015.1"	56	37	31	35.09		"Chromosome"	450881683	12239498	16004308	98.7
"34682"	"species"	"Syritta pipiens"	"GCA_905147025.1"	158	158		38.5		"Contig"	314927444	7810249	7810249	
"938238"	"species"	"Laspeyria flexula"	"GCA_905147035.1"	1214	1213		35		"Scaffold"	442945434	688529	688801	
"171585"	"species"	"Nymphalis io"	"GCA_905147045.1"	51	41	31	33.7		"Chromosome"	384156914	12944774	13340570	98.80000000000001
"111881"	"species"	"Nymphalis urticae"	"GCA_905147055.1"	40	40		33.5		"Contig"	392919256	13174285	13174285	
"7116"	"species"	"Pieris brassicae"	"GCA_905147085.1"	444	442		34		"Scaffold"	264942436	2813355	2813355	
"219539"	"species"	"Scaeva pyrastri"	"GCA_905147095.1"	668	667		32.5		"Scaffold"	325217936	2652713	2652713	
